Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Viscosity, cP",Reference (DOI)
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,363.15,17.68,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,303.15,5.16,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,313.15,2.31,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,323.15,44774,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,333.15,0.65,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,343.15,0.22,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,353.15,0.15,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,363.15,0.13,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,303.15,6.81,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,313.15,5.1,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,323.15,3.52,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,333.15,1.23,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,343.15,0.78,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,353.15,0.56,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,363.15,0.24,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,293.15,134.23,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,303.15,79.14,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,313.15,47.76,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,323.15,31.29,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,333.15,44612,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,293.15,164.52,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,303.15,85.88,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,313.15,46.75,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,323.15,31.58,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,333.15,21.47,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,293.15,130.07,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,303.15,69.81,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,313.15,39.07,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,323.15,44769,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,333.15,18.71,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,293.15,148.95,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,303.15,76.98,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,313.15,42.42,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,323.15,28.81,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,333.15,19.74,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,293.15,121.68,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,303.15,65.59,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,313.15,36.66,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,323.15,25.46,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,333.15,17.47,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,293.15,376.5,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,303.15,175.1,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,313.15,93.88,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,323.15,53.38,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,333.15,33.85,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Trimethylamine hydrochloride,Levulinic acid,,0.25,0.75,,293.15,74.02,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Trimethylamine hydrochloride,Levulinic acid,,0.25,0.75,,303.15,42.25,10.1016/j.molliq.2016.07.039
