Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),I,II,III,IV,V,"Temperature, K","VdWVolume, A^3#1","VdWVolume, A^3#2","VdWVolume, A^3#3",NumHeteroatoms,RingCount,InertialShapeFactor,SpherocityIndex,Metal_frac_gen,Li,C,N,O,F,Mg,Al,P,S,Cl,K,Cr,Fe,Co,Cu,Zn,Br,train/test,"Viscosity, cP",Reference (DOI),"Viscosity_prediction, cP"
Trioctylphosphine oxide,phenol,0,0.33,0.67,0,0,0,0,0,1,293.15,39.42863063,31.03715766,0,2.34,1,0.0005743916884,0.5879338883,0,0,11.94,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,test,16.47,10.1021/acssuschemeng.8b04843,69.34665096
Trioctylphosphine oxide,phenol,0,0.33,0.67,0,0,0,0,0,1,298.15,39.42863063,31.03715766,0,2.34,1,0.0005743916884,0.5879338883,0,0,11.94,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,test,12.38,10.1021/acssuschemeng.8b04843,46.78891617
Trioctylphosphine oxide,phenol,0,0.33,0.67,0,0,0,0,0,1,303.15,39.42863063,31.03715766,0,2.34,1,0.0005743916884,0.5879338883,0,0,11.94,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,test,9.52,10.1021/acssuschemeng.8b04843,42.12447477
Trioctylphosphine oxide,phenol,0,0.33,0.67,0,0,0,0,0,1,313.15,39.42863063,31.03715766,0,2.34,1,0.0005743916884,0.5879338883,0,0,11.94,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,test,6.18,10.1021/acssuschemeng.8b04843,24.29746339
Trioctylphosphine oxide,phenol,0,0.33,0.67,0,0,0,0,0,1,323.15,39.42863063,31.03715766,0,2.34,1,0.0005743916884,0.5879338883,0,0,11.94,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,test,4.35,10.1021/acssuschemeng.8b04843,20.03619492
Trioctylphosphine oxide,phenol,0,0.33,0.67,0,0,0,0,0,1,333.15,39.42863063,31.03715766,0,2.34,1,0.0005743916884,0.5879338883,0,0,11.94,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,test,3.24,10.1021/acssuschemeng.8b04843,16.31520905
Trioctylphosphine oxide,phenol,0,0.33,0.67,0,0,0,0,0,1,343.15,39.42863063,31.03715766,0,2.34,1,0.0005743916884,0.5879338883,0,0,11.94,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,test,2.53,10.1021/acssuschemeng.8b04843,12.23639441
Trioctylphosphine oxide,phenol,0,0.33,0.67,0,0,0,0,0,1,353.15,39.42863063,31.03715766,0,2.34,1,0.0005743916884,0.5879338883,0,0,11.94,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,test,02.04,10.1021/acssuschemeng.8b04843,8.989970294
Trioctylphosphine oxide,phenol,0,0.33,0.67,0,0,0,0,0,1,363.15,39.42863063,31.03715766,0,2.34,1,0.0005743916884,0.5879338883,0,0,11.94,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,test,1.73,10.1021/acssuschemeng.8b04843,6.932304844
Trioctylphosphine oxide,phenol,0,0.5,0.5,0,0,0,0,0,1,293.15,39.42863063,31.03715766,0,2,1,0.0003893347123,0.5911271386,0,0,15,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,test,54,10.1021/acssuschemeng.8b04843,63.91130473
Trioctylphosphine oxide,phenol,0,0.5,0.5,0,0,0,0,0,1,298.15,39.42863063,31.03715766,0,2,1,0.0003893347123,0.5911271386,0,0,15,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,test,43,10.1021/acssuschemeng.8b04843,41.59348532
Trioctylphosphine oxide,phenol,0,0.5,0.5,0,0,0,0,0,1,313.15,39.42863063,31.03715766,0,2,1,0.0003893347123,0.5911271386,0,0,15,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,test,22,10.1021/acssuschemeng.8b04843,20.13609857
Trioctylphosphine oxide,phenol,0,0.5,0.5,0,0,0,0,0,1,323.15,39.42863063,31.03715766,0,2,1,0.0003893347123,0.5911271386,0,0,15,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,test,15.02,10.1021/acssuschemeng.8b04843,16.14352561
Trioctylphosphine oxide,phenol,0,0.5,0.5,0,0,0,0,0,1,333.15,39.42863063,31.03715766,0,2,1,0.0003893347123,0.5911271386,0,0,15,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,test,10.76,10.1021/acssuschemeng.8b04843,12.78267925
THYMOL,1-TETRADECANOL,0,0.5,0.5,0,0,0,0,0,1,293.15,41.59526276,24.99336787,0,1.5,0.5,0.001503509249,0.4719267971,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,40.384,10.1016/j.molliq.2022.120056,43.97015137
THYMOL,1-TETRADECANOL,0,0.5,0.5,0,0,0,0,0,1,298.15,41.59526276,24.99336787,0,1.5,0.5,0.001503509249,0.4719267971,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,28.752,10.1016/j.molliq.2022.120056,27.7105163
THYMOL,1-TETRADECANOL,0,0.5,0.5,0,0,0,0,0,1,303.15,41.59526276,24.99336787,0,1.5,0.5,0.001503509249,0.4719267971,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,20.508,10.1016/j.molliq.2022.120056,24.64545699
THYMOL,1-TETRADECANOL,0,0.5,0.5,0,0,0,0,0,1,308.15,41.59526276,24.99336787,0,1.5,0.5,0.001503509249,0.4719267971,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,15.561,10.1016/j.molliq.2022.120056,21.17316046
THYMOL,1-TETRADECANOL,0,0.5,0.5,0,0,0,0,0,1,313.15,41.59526276,24.99336787,0,1.5,0.5,0.001503509249,0.4719267971,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,11.683,10.1016/j.molliq.2022.120056,13.52337474
THYMOL,1-TETRADECANOL,0,0.5,0.5,0,0,0,0,0,1,318.15,41.59526276,24.99336787,0,1.5,0.5,0.001503509249,0.4719267971,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,8.975,10.1016/j.molliq.2022.120056,11.43930827
THYMOL,1-TETRADECANOL,0,0.5,0.5,0,0,0,0,0,1,323.15,41.59526276,24.99336787,0,1.5,0.5,0.001503509249,0.4719267971,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,6.889,10.1016/j.molliq.2022.120056,9.954045606
THYMOL,1-TETRADECANOL,0,0.5,0.5,0,0,0,0,0,1,328.15,41.59526276,24.99336787,0,1.5,0.5,0.001503509249,0.4719267971,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,5.344,10.1016/j.molliq.2022.120056,9.338611802
THYMOL,1-TETRADECANOL,0,0.5,0.5,0,0,0,0,0,1,333.15,41.59526276,24.99336787,0,1.5,0.5,0.001503509249,0.4719267971,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,4.296,10.1016/j.molliq.2022.120056,7.788554175
Matrine,Decanoic acid,0,0.5,0.5,0,0,0,0,0,1,298.15,24.39289414,20.41526276,0,1.5,0.5,0.001768381575,0.3898596168,0,0,12.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,362,10.1016/j.molliq.2022.119560,158.5987458
Matrine,Decanoic acid,0,0.5,0.5,0,0,0,0,0,1,303.15,24.39289414,20.41526276,0,1.5,0.5,0.001768381575,0.3898596168,0,0,12.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,247,10.1016/j.molliq.2022.119560,138.3778548
Matrine,Decanoic acid,0,0.5,0.5,0,0,0,0,0,1,308.15,24.39289414,20.41526276,0,1.5,0.5,0.001768381575,0.3898596168,0,0,12.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,167,10.1016/j.molliq.2022.119560,118.0433012
Matrine,Decanoic acid,0,0.5,0.5,0,0,0,0,0,1,313.15,24.39289414,20.41526276,0,1.5,0.5,0.001768381575,0.3898596168,0,0,12.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,119,10.1016/j.molliq.2022.119560,82.32154078
Matrine,Decanoic acid,0,0.5,0.5,0,0,0,0,0,1,318.15,24.39289414,20.41526276,0,1.5,0.5,0.001768381575,0.3898596168,0,0,12.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,84,10.1016/j.molliq.2022.119560,68.7910462
Matrine,Decanoic acid,0,0.5,0.5,0,0,0,0,0,1,323.15,24.39289414,20.41526276,0,1.5,0.5,0.001768381575,0.3898596168,0,0,12.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,64.5,10.1016/j.molliq.2022.119560,52.95298519
Matrine,Decanoic acid,0,0.5,0.5,0,0,0,0,0,1,328.15,24.39289414,20.41526276,0,1.5,0.5,0.001768381575,0.3898596168,0,0,12.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,48.6,10.1016/j.molliq.2022.119560,49.19008111
Matrine,Decanoic acid,0,0.5,0.5,0,0,0,0,0,1,333.15,24.39289414,20.41526276,0,1.5,0.5,0.001768381575,0.3898596168,0,0,12.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,37.5,10.1016/j.molliq.2022.119560,38.62158322
Matrine,Decanoic acid,0,0.5,0.5,0,0,0,0,0,1,338.15,24.39289414,20.41526276,0,1.5,0.5,0.001768381575,0.3898596168,0,0,12.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,29.7,10.1016/j.molliq.2022.119560,34.36135705
Matrine,lauric acid,0,0.5,0.5,0,0,0,0,0,1,298.15,24.39289414,25.69431531,0,2,0.5,0.001358257456,0.4134450093,0,0,13.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,349,10.1016/j.molliq.2022.119560,178.8332655
Matrine,lauric acid,0,0.5,0.5,0,0,0,0,0,1,303.15,24.39289414,25.69431531,0,2,0.5,0.001358257456,0.4134450093,0,0,13.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,236,10.1016/j.molliq.2022.119560,156.6731924
Matrine,lauric acid,0,0.5,0.5,0,0,0,0,0,1,308.15,24.39289414,25.69431531,0,2,0.5,0.001358257456,0.4134450093,0,0,13.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,164,10.1016/j.molliq.2022.119560,134.1349221
Matrine,lauric acid,0,0.5,0.5,0,0,0,0,0,1,313.15,24.39289414,25.69431531,0,2,0.5,0.001358257456,0.4134450093,0,0,13.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,118,10.1016/j.molliq.2022.119560,92.45356306
Matrine,lauric acid,0,0.5,0.5,0,0,0,0,0,1,318.15,24.39289414,25.69431531,0,2,0.5,0.001358257456,0.4134450093,0,0,13.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,84,10.1016/j.molliq.2022.119560,76.47517103
Matrine,lauric acid,0,0.5,0.5,0,0,0,0,0,1,323.15,24.39289414,25.69431531,0,2,0.5,0.001358257456,0.4134450093,0,0,13.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,64.8,10.1016/j.molliq.2022.119560,58.86796062
Matrine,lauric acid,0,0.5,0.5,0,0,0,0,0,1,328.15,24.39289414,25.69431531,0,2,0.5,0.001358257456,0.4134450093,0,0,13.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,49.8,10.1016/j.molliq.2022.119560,54.68473114
Matrine,lauric acid,0,0.5,0.5,0,0,0,0,0,1,333.15,24.39289414,25.69431531,0,2,0.5,0.001358257456,0.4134450093,0,0,13.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,36.7,10.1016/j.molliq.2022.119560,42.93570668
Matrine,lauric acid,0,0.5,0.5,0,0,0,0,0,1,338.15,24.39289414,25.69431531,0,2,0.5,0.001358257456,0.4134450093,0,0,13.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,30.6,10.1016/j.molliq.2022.119560,38.47575915
Matrine,Tetradecanoic acid,0,0.5,0.5,0,0,0,0,0,1,298.15,24.39289414,30.97336787,0,1.5,0.5,0.0006397319095,0.6545902726,0,0,14.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,356,10.1016/j.molliq.2022.119560,205.9140702
Matrine,Tetradecanoic acid,0,0.5,0.5,0,0,0,0,0,1,303.15,24.39289414,30.97336787,0,1.5,0.5,0.0006397319095,0.6545902726,0,0,14.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,238,10.1016/j.molliq.2022.119560,184.4087513
Matrine,Tetradecanoic acid,0,0.5,0.5,0,0,0,0,0,1,308.15,24.39289414,30.97336787,0,1.5,0.5,0.0006397319095,0.6545902726,0,0,14.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,168,10.1016/j.molliq.2022.119560,157.3099815
Matrine,Tetradecanoic acid,0,0.5,0.5,0,0,0,0,0,1,313.15,24.39289414,30.97336787,0,1.5,0.5,0.0006397319095,0.6545902726,0,0,14.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,121,10.1016/j.molliq.2022.119560,112.3867894
Matrine,Tetradecanoic acid,0,0.5,0.5,0,0,0,0,0,1,318.15,24.39289414,30.97336787,0,1.5,0.5,0.0006397319095,0.6545902726,0,0,14.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,89,10.1016/j.molliq.2022.119560,92.73714119
Matrine,Tetradecanoic acid,0,0.5,0.5,0,0,0,0,0,1,323.15,24.39289414,30.97336787,0,1.5,0.5,0.0006397319095,0.6545902726,0,0,14.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,67.4,10.1016/j.molliq.2022.119560,81.05448409
Matrine,Tetradecanoic acid,0,0.5,0.5,0,0,0,0,0,1,328.15,24.39289414,30.97336787,0,1.5,0.5,0.0006397319095,0.6545902726,0,0,14.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,52.2,10.1016/j.molliq.2022.119560,74.88380132
Matrine,Tetradecanoic acid,0,0.5,0.5,0,0,0,0,0,1,333.15,24.39289414,30.97336787,0,1.5,0.5,0.0006397319095,0.6545902726,0,0,14.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,40.6,10.1016/j.molliq.2022.119560,58.23127118
Matrine,Tetradecanoic acid,0,0.5,0.5,0,0,0,0,0,1,338.15,24.39289414,30.97336787,0,1.5,0.5,0.0006397319095,0.6545902726,0,0,14.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,train,32.3,10.1016/j.molliq.2022.119560,51.82455564
MENTHOL,camphor,0,0.5,0.5,0,0,0,0,0,1,298.15,16.61526276,30.75526276,0,1.5,1,0.002621172772,0.6657079173,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,20,10.1016/j.foodchem.2021.131930,24.64648739
alpha-TERPINEOL,camphor,0,0.5,0.5,0,0,0,0,0,1,298.15,28.57526276,30.75526276,0,1.5,1,0.00323597279,0.5316822067,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,18.3,10.1016/j.foodchem.2021.131930,22.89883491
alpha-TERPINEOL,THYMOL,0,0.5,0.5,0,0,0,0,0,1,298.15,28.57526276,41.59526276,0,1.5,1,0.003674476183,0.3789610792,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,35.4,10.1016/j.foodchem.2021.131930,23.80369691
camphor,THYMOL,0,0.5,0.5,0,0,0,0,0,1,298.15,30.75526276,41.59526276,0,2,0,0.002862616663,0.5992984734,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,31.7,10.1016/j.foodchem.2021.131930,28.48781278
alpha-TERPINEOL,MENTHOL,0,0.5,0.5,0,0,0,0,0,1,298.15,28.57526276,16.61526276,0,1,2,0.003286753253,0.4295485356,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,48,10.1016/j.foodchem.2021.131930,33.27140356
Fenchol,MENTHOL,0,0.5,0.5,0,0,0,0,0,1,298.15,18.79526276,16.61526276,0,1,2.5,0.002450177116,0.6359381581,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,56.9,10.1016/j.foodchem.2021.131930,29.07776275
coumarin,THYMOL,0,0.5,0.5,0,0,0,0,0,1,298.15,48.17573649,41.59526276,0,2.5,0,0.003684466549,0.3933926796,0,0,9.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,test,25,10.1016/j.foodchem.2021.131930,21.63318385
Fenchol,THYMOL,0,0.5,0.5,0,0,0,0,0,1,298.15,18.79526276,41.59526276,0,1.5,1.5,0.002690100451,0.5717849865,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,32.9,10.1016/j.foodchem.2021.131930,26.1312483
MENTHOL,THYMOL,0,0.5,0.5,0,0,0,0,0,1,298.15,16.61526276,41.59526276,0,1.5,1,0.002913318474,0.4827624655,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,42.3,10.1016/j.foodchem.2021.131930,26.50447559
MENTHOL,camphor,0,0.5,0.5,0,0,0,0,0,1,308.15,16.61526276,30.75526276,0,1.5,1,0.002621172772,0.6657079173,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,13.7,10.1016/j.foodchem.2021.131930,17.86343617
alpha-TERPINEOL,camphor,0,0.5,0.5,0,0,0,0,0,1,308.15,28.57526276,30.75526276,0,1.5,1,0.00323597279,0.5316822067,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,13.8,10.1016/j.foodchem.2021.131930,17.52733239
alpha-TERPINEOL,THYMOL,0,0.5,0.5,0,0,0,0,0,1,308.15,28.57526276,41.59526276,0,1.5,1,0.003674476183,0.3789610792,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,20.47,10.1016/j.foodchem.2021.131930,18.71674969
camphor,THYMOL,0,0.5,0.5,0,0,0,0,0,1,308.15,30.75526276,41.59526276,0,2,0,0.002862616663,0.5992984734,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,16.27,10.1016/j.foodchem.2021.131930,22.34606988
alpha-TERPINEOL,MENTHOL,0,0.5,0.5,0,0,0,0,0,1,308.15,28.57526276,16.61526276,0,1,2,0.003286753253,0.4295485356,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,22.87,10.1016/j.foodchem.2021.131930,25.90639348
Fenchol,MENTHOL,0,0.5,0.5,0,0,0,0,0,1,308.15,18.79526276,16.61526276,0,1,2.5,0.002450177116,0.6359381581,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,27.67,10.1016/j.foodchem.2021.131930,22.36948681
coumarin,THYMOL,0,0.5,0.5,0,0,0,0,0,1,308.15,48.17573649,41.59526276,0,2.5,0,0.003684466549,0.3933926796,0,0,9.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,test,16.8,10.1016/j.foodchem.2021.131930,17.244415
Fenchol,THYMOL,0,0.5,0.5,0,0,0,0,0,1,308.15,18.79526276,41.59526276,0,1.5,1.5,0.002690100451,0.5717849865,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,20.7,10.1016/j.foodchem.2021.131930,19.4990147
MENTHOL,THYMOL,0,0.5,0.5,0,0,0,0,0,1,308.15,16.61526276,41.59526276,0,1.5,1,0.002913318474,0.4827624655,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,22.1,10.1016/j.foodchem.2021.131930,19.19517843
MENTHOL,camphor,0,0.5,0.5,0,0,0,0,0,1,313.15,16.61526276,30.75526276,0,1.5,1,0.002621172772,0.6657079173,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,13.5,10.1016/j.foodchem.2021.131930,12.28573058
alpha-TERPINEOL,camphor,0,0.5,0.5,0,0,0,0,0,1,313.15,28.57526276,30.75526276,0,1.5,1,0.00323597279,0.5316822067,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,11.1,10.1016/j.foodchem.2021.131930,10.86501523
alpha-TERPINEOL,THYMOL,0,0.5,0.5,0,0,0,0,0,1,313.15,28.57526276,41.59526276,0,1.5,1,0.003674476183,0.3789610792,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,17.4,10.1016/j.foodchem.2021.131930,11.32822733
camphor,THYMOL,0,0.5,0.5,0,0,0,0,0,1,313.15,30.75526276,41.59526276,0,2,0,0.002862616663,0.5992984734,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,15.9,10.1016/j.foodchem.2021.131930,14.03073823
alpha-TERPINEOL,MENTHOL,0,0.5,0.5,0,0,0,0,0,1,313.15,28.57526276,16.61526276,0,1,2,0.003286753253,0.4295485356,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,18.9,10.1016/j.foodchem.2021.131930,15.78002113
Fenchol,MENTHOL,0,0.5,0.5,0,0,0,0,0,1,313.15,18.79526276,16.61526276,0,1,2.5,0.002450177116,0.6359381581,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,25.4,10.1016/j.foodchem.2021.131930,15.6898912
coumarin,THYMOL,0,0.5,0.5,0,0,0,0,0,1,313.15,48.17573649,41.59526276,0,2.5,0,0.003684466549,0.3933926796,0,0,9.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,test,16.8,10.1016/j.foodchem.2021.131930,10.49762955
Fenchol,THYMOL,0,0.5,0.5,0,0,0,0,0,1,313.15,18.79526276,41.59526276,0,1.5,1.5,0.002690100451,0.5717849865,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,28.2,10.1016/j.foodchem.2021.131930,13.41061366
MENTHOL,THYMOL,0,0.5,0.5,0,0,0,0,0,1,313.15,16.61526276,41.59526276,0,1.5,1,0.002913318474,0.4827624655,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,19.6,10.1016/j.foodchem.2021.131930,13.20164768
MENTHOL,camphor,0,0.5,0.5,0,0,0,0,0,1,318.15,16.61526276,30.75526276,0,1.5,1,0.002621172772,0.6657079173,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,10.7,10.1016/j.foodchem.2021.131930,10.41132716
alpha-TERPINEOL,camphor,0,0.5,0.5,0,0,0,0,0,1,318.15,28.57526276,30.75526276,0,1.5,1,0.00323597279,0.5316822067,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,10.9,10.1016/j.foodchem.2021.131930,9.16848306
alpha-TERPINEOL,THYMOL,0,0.5,0.5,0,0,0,0,0,1,318.15,28.57526276,41.59526276,0,1.5,1,0.003674476183,0.3789610792,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,15.1,10.1016/j.foodchem.2021.131930,9.797242356
camphor,THYMOL,0,0.5,0.5,0,0,0,0,0,1,318.15,30.75526276,41.59526276,0,2,0,0.002862616663,0.5992984734,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,12.03,10.1016/j.foodchem.2021.131930,12.04140177
alpha-TERPINEOL,MENTHOL,0,0.5,0.5,0,0,0,0,0,1,318.15,28.57526276,16.61526276,0,1,2,0.003286753253,0.4295485356,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,14.93,10.1016/j.foodchem.2021.131930,13.36164449
Fenchol,MENTHOL,0,0.5,0.5,0,0,0,0,0,1,318.15,18.79526276,16.61526276,0,1,2.5,0.002450177116,0.6359381581,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,18.07,10.1016/j.foodchem.2021.131930,13.69657832
coumarin,THYMOL,0,0.5,0.5,0,0,0,0,0,1,318.15,48.17573649,41.59526276,0,2.5,0,0.003684466549,0.3933926796,0,0,9.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,test,13.6,10.1016/j.foodchem.2021.131930,9.07340154
Fenchol,THYMOL,0,0.5,0.5,0,0,0,0,0,1,318.15,18.79526276,41.59526276,0,1.5,1.5,0.002690100451,0.5717849865,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,15.13,10.1016/j.foodchem.2021.131930,11.5583001
MENTHOL,THYMOL,0,0.5,0.5,0,0,0,0,0,1,318.15,16.61526276,41.59526276,0,1.5,1,0.002913318474,0.4827624655,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,15.7,10.1016/j.foodchem.2021.131930,11.37819712
MENTHOL,camphor,0,0.5,0.5,0,0,0,0,0,1,333.15,16.61526276,30.75526276,0,1.5,1,0.002621172772,0.6657079173,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,7,10.1016/j.foodchem.2021.131930,7.349412647
alpha-TERPINEOL,camphor,0,0.5,0.5,0,0,0,0,0,1,333.15,28.57526276,30.75526276,0,1.5,1,0.00323597279,0.5316822067,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,6.35,10.1016/j.foodchem.2021.131930,6.609341434
alpha-TERPINEOL,THYMOL,0,0.5,0.5,0,0,0,0,0,1,333.15,28.57526276,41.59526276,0,1.5,1,0.003674476183,0.3789610792,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,10.3,10.1016/j.foodchem.2021.131930,6.346054112
camphor,THYMOL,0,0.5,0.5,0,0,0,0,0,1,333.15,30.75526276,41.59526276,0,2,0,0.002862616663,0.5992984734,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,8.35,10.1016/j.foodchem.2021.131930,8.130764144
alpha-TERPINEOL,MENTHOL,0,0.5,0.5,0,0,0,0,0,1,333.15,28.57526276,16.61526276,0,1,2,0.003286753253,0.4295485356,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,11.7,10.1016/j.foodchem.2021.131930,8.790018387
Fenchol,MENTHOL,0,0.5,0.5,0,0,0,0,0,1,333.15,18.79526276,16.61526276,0,1,2.5,0.002450177116,0.6359381581,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,12.6,10.1016/j.foodchem.2021.131930,9.890290323
coumarin,THYMOL,0,0.5,0.5,0,0,0,0,0,1,333.15,48.17573649,41.59526276,0,2.5,0,0.003684466549,0.3933926796,0,0,9.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,test,10.5,10.1016/j.foodchem.2021.131930,5.504701258
Fenchol,THYMOL,0,0.5,0.5,0,0,0,0,0,1,333.15,18.79526276,41.59526276,0,1.5,1.5,0.002690100451,0.5717849865,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,10.5,10.1016/j.foodchem.2021.131930,8.138509409
MENTHOL,THYMOL,0,0.5,0.5,0,0,0,0,0,1,333.15,16.61526276,41.59526276,0,1.5,1,0.002913318474,0.4827624655,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,8.6,10.1016/j.foodchem.2021.131930,8.195505431
MENTHOL,camphor,0,0.5,0.5,0,0,0,0,0,1,343.15,16.61526276,30.75526276,0,1.5,1,0.002621172772,0.6657079173,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train,5.42,10.1016/j.foodchem.2021.131930,4.876910325
