Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),I,II,III,IV,V,"Temperature, K","VdWVolume, A^3#1","VdWVolume, A^3#2","VdWVolume, A^3#3",NumHeteroatoms,RingCount,InertialShapeFactor,SpherocityIndex,Metal_frac_gen,Li,C,N,O,F,Mg,Al,P,S,Cl,K,Cr,Fe,Co,Cu,Zn,Br,train/test,"Viscosity, cP",Reference (DOI),"Viscosity_prediction, cP"
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,333.15,-11.42331607,-21.38094745,0,3,1,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,train,46.48,10.1021/acs.iecr.7b02478,51.32448367
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,343.15,-11.42331607,-21.38094745,0,3,1,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,train,27.73,10.1021/acs.iecr.7b02478,44.40020271
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,353.15,-11.42331607,-21.38094745,0,3,1,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,train,14.51,10.1021/acs.iecr.7b02478,36.01980748
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,363.15,-11.42331607,-21.38094745,0,3,1,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,train,8.37,10.1021/acs.iecr.7b02478,27.83056726
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,303.15,-11.42331607,-6.781421172,0,1.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,test,335.98,10.1021/acs.iecr.7b02478,99.67614823
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,313.15,-11.42331607,-6.781421172,0,1.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,test,189.19,10.1021/acs.iecr.7b02478,58.35784659
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,323.15,-11.42331607,-6.781421172,0,1.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,test,98.8,10.1021/acs.iecr.7b02478,45.90479964
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,333.15,-11.42331607,-6.781421172,0,1.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,test,57.92,10.1021/acs.iecr.7b02478,37.03987857
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,343.15,-11.42331607,-6.781421172,0,1.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,test,35.77,10.1021/acs.iecr.7b02478,28.34902824
ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,353.15,-11.42331607,-6.781421172,0,1.5,0.75,0.003023983691,0.6724290274,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,test,25.74,10.1021/acs.iecr.7b02478,22.2298841
