Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Density, g/cm^3",Reference (DOI)
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,343.15,1.0987,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,353.15,1.0935,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,363.15,1.0895,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,303.15,1.1293,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,313.15,1.1249,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,323.15,1.1193,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,333.15,1.1133,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,343.15,1.1081,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,353.15,1.1037,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,363.15,1.1002,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.25,0.75,,293.15,1.1533,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.25,0.75,,303.15,1.1475,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.25,0.75,,313.15,1.1412,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.25,0.75,,323.15,1.1341,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.2,0.8,,293.15,1.1556,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.2,0.8,,303.15,1.1477,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.2,0.8,,313.15,1.1406,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.2,0.8,,323.15,1.1324,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.16667,0.83333,,293.15,1.1497,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.16667,0.83333,,303.15,1.1434,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.16667,0.83333,,313.15,1.1362,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.16667,0.83333,,323.15,1.128,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.25,0.75,,293.15,1.1496,10.1021/acs.jced.6b01013
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.25,0.75,,303.15,1.1461,10.1021/acs.jced.6b01013
