Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),Molar fraction of component#3,I,II,III,IV,V,"Temperature of experiment, K","VdWVolume, A^3#1",Van der Waals volume of component #2,Van der Waals volume of component #3,Number of Heteroatoms,RingCount,InertialShapeFactor,Spherocity Index,Mass fraction of metal ,Li,C,N,O,F,Al,P,S, Cl,K,Fe,Cu,Zn, Br,train/test,"Density, g/cm^3",Reference (DOI),"Density_prediction, g/cm^3"
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,353.15,-24.54378979,-16.00142117,0,3.143,0.143,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,train,1.2587,10.1021/acssuschemeng.9b03245,1.239742615
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,293.15,-24.54378979,-16.00142117,0,3.167,0.167,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,train,1.2983,10.1021/acssuschemeng.9b03245,1.296710156
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,303.15,-24.54378979,-16.00142117,0,3.167,0.167,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,train,1.2918,10.1021/acssuschemeng.9b03245,1.296527099
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,313.15,-24.54378979,-16.00142117,0,3.167,0.167,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,train,1.2854,10.1021/acssuschemeng.9b03245,1.283333846
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,323.15,-24.54378979,-16.00142117,0,3.167,0.167,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,train,1.2788,10.1021/acssuschemeng.9b03245,1.280377749
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,333.15,-24.54378979,-16.00142117,0,3.167,0.167,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,train,1.2725,10.1021/acssuschemeng.9b03245,1.274939898
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,343.15,-24.54378979,-16.00142117,0,3.167,0.167,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,train,1.2656,10.1021/acssuschemeng.9b03245,1.260915826
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,353.15,-24.54378979,-16.00142117,0,3.167,0.167,0.004191983705,0.4770273467,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,train,1.2589,10.1021/acssuschemeng.9b03245,1.251696322
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,293.15,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177151,0.4575528705,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,train,1.3085,10.1021/acssuschemeng.9b03245,1.316746043
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,303.15,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177151,0.4575528705,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,train,1.302,10.1021/acssuschemeng.9b03245,1.316203791
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,313.15,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177151,0.4575528705,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,train,1.2955,10.1021/acssuschemeng.9b03245,1.303558772
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,323.15,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177151,0.4575528705,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,train,1.289,10.1021/acssuschemeng.9b03245,1.300602675
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,333.15,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177151,0.4575528705,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,train,1.2823,10.1021/acssuschemeng.9b03245,1.295164824
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,343.15,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177151,0.4575528705,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,train,1.2757,10.1021/acssuschemeng.9b03245,1.281140752
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,353.15,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177151,0.4575528705,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,train,1.269,10.1021/acssuschemeng.9b03245,1.266311663
ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,303.15,-11.42331607,-21.38094745,0,3.5,0.5,0.001775950271,0.6642406225,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,train,1.1293,10.1021/acs.iecr.7b02478,1.1347032
